sid,fname,lname,middle_initial,mother,dob,city,state,country,street,zip,phone,gender,joining_date,grad_date,gpa,did
1,Raul,Speaks,B,Benton,1992-05-13,"North Billerica",MA,US,"2008 Christie Way",1862,9788469885,male,NULL,NULL,3.4,1
2,Ingrid,Maas,S,Reynolds,1991-05-17,"North Key Largo",FL,US,"1045 Tyler Avenue",33038,3053673160,female,NULL,NULL,3.2,2
3,Daniel,Rau,L,Garcia,1990-01-12,"Santa Fe Springs",CA,US,"2238 Locust Court",90670,5624412295,male,NULL,NULL,3.2,3
4,Keith,Palmer,D,Rudd,1992-03-14,Lawton,OK,US,"3198 Simpson Square",73501,5805919796,male,NULL,NULL,3.2,4
5,Douglas,Schull,L,Simpson,1990-02-09,Sidonia,TN,US,"2973 Pooz Street",38255,7319736321,male,NULL,NULL,2.8,1
6,James,McCoy,A,Trevino,1991-04-14,Winthrop,MA,US,"2170 Hinkle Lake Road",2152,6175396317,male,NULL,NULL,3,2
7,Marvin,Byers,M,Doyle,1994-07-24,Causeyville,MS,US,"2393 Walnut Street",39301,6016447499,male,NULL,NULL,3.6,3
8,Tammy,Duncan,L,Green,1994-04-28,"Wood Dale",IL,US,"540 Fraggle Drive",60191,6303909302,female,NULL,NULL,3.4,4
9,Tatiana,Williams,C,Israel,1991-09-18,Orlando,FL,US,"466 Barnes Street",32811,4073134800,female,NULL,NULL,2.6,1
10,Sylvia,Demarco,C,Harris,1994-01-07,Kalamazoo,MI,US,"4679 Shingleton Road",49007,2693375583,female,NULL,NULL,3.4,2
11,Andrea,Knott,C,Martin,1993-11-22,Philadelphia,PA,US,"1021 Deercove Drive",19121,2152320630,female,NULL,NULL,NULL,3
12,Mark,Trinidad,A,Garvin,1992-11-27,"New York",NY,US,"4649 Small Street",10016,2128506210,male,NULL,NULL,NULL,4
13,Angie,Gerardi,T,Lyons,1990-10-15,"Baton Rouge",LA,US,"1180 Washburn Street",70806,2253177491,female,NULL,NULL,NULL,1
14,Charles,Miller,M,Suarez,1989-03-26,Houston,TX,US,"1809 Patterson Street",77063,7132826921,male,NULL,NULL,NULL,2
15,Marvin,Johnston,J,Pompey,1990-03-28,Reno,NV,US,"647 Sheila Lane",89501,7753703003,male,NULL,NULL,NULL,3
16,Deborah,Wakefield,G,Hunt,1989-10-25,Irvine,CA,US,"610 Felosa Drive",92614,3239859794,female,NULL,NULL,NULL,4
17,Miranda,Gagne,R,Shepard,1990-07-24,Lancaster,TX,US,"3049 Hope Street",75146,9722276771,female,NULL,NULL,NULL,1
18,Fredric,Torres,G,Adkins,1993-11-25,Worthington,OH,US,"4179 Palmer Road",43085,6146735425,male,NULL,NULL,NULL,2
